1:Troian Bellisario-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
83:Jennifer Lawrence-[['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie'], ['a salted caramel hot chocolate', 'medium', 'a chocolate chip cookie']]
84:Mark Harmon-[['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant'], ['an espresso', 'large', 'a croissant']]
85:Robert Pattinson-[['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin'], ['an espresso macchiato', 'small', 'a blueberry muffin']]
86:Charlie Hunnam-[['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie'], ['a mocha', 'small', 'a gingerbread cookie']]
87:Kiefer Sutherland-[['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel'], ['a peppermint hot chocolate', 'medium', 'an everything bagel']]
88:Matthew Morrison-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
89:Matthew Rhys-[['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie'], ['an americano', 'small', 'a chocolate chip cookie']]
90:Felicity Huffman-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
91:Ty Burrell-[['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel'], ['a caramel macchiato', 'small', 'a plain bagel']]
92:Shane West-[['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake'], ['a white hot chocolate', 'medium', 'a carrot cake']]
93:Jake Johnson-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
94:Leighton Meester-[['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', '']]
95:America Ferrera-[['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal'], ['a hot chocolate', 'large', 'a classic oatmeal']]
96:Angie Harmon-[['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', '']]
97:Paul Reiser-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', '']]
98:Ed Westwick-[['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', ''], ['a noisette', 'large', '']]
99:Matt Bomer-[['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel'], ['a salted caramel hot chocolate', 'large', 'an everything bagel']]
100:Johnny Depp-[['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal'], ['a mocha', 'small', 'a blueberry oatmeal']]
101:Liam Hemsworth-[['a black tea', 'medium', 'an everything bagel'], ['a black tea', 'medium', 'an everything bagel'], ['a black tea', 'medium', 'an everything bagel'], ['a black tea', 'medium', 'an everything bagel'], ['a black tea', 'medium', 'an everything bagel']]
102:Stana Katic-[['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', ''], ['a salted caramel hot chocolate', 'small', '']]
103:Mark Ruffalo-[['a black tea', 'large', 'a carrot cake'], ['a black tea', 'large', 'a carrot cake'], ['a black tea', 'large', 'a carrot cake'], ['a black tea', 'large', 'a carrot cake'], ['a black tea', 'large', 'a carrot cake']]
104:Jennifer Garner-[['a hot chocolate', 'large', 'a chocolate chip muffin'], ['a hot chocolate', 'large', 'a chocolate chip muffin'], ['a hot chocolate', 'large', 'a chocolate chip muffin'], ['a hot chocolate', 'large', 'a chocolate chip muffin'], ['a hot chocolate', 'large', 'a chocolate chip muffin']]
105:Jennifer Aniston-[['an espresso', 'small', 'a classic oatmeal'], ['an espresso', 'small', 'a classic oatmeal'], ['an espresso', 'small', 'a classic oatmeal'], ['an espresso', 'small', 'a classic oatmeal'], ['an espresso', 'small', 'a classic oatmeal']]
106:Cobie Smulders-[['an espresso con panna', 'large', 'a breakfast tortilla wrap'], ['an espresso con panna', 'large', 'a breakfast tortilla wrap'], ['an espresso con panna', 'large', 'a breakfast tortilla wrap'], ['an espresso con panna', 'large', 'a breakfast tortilla wrap'], ['an espresso con panna', 'large', 'a breakfast tortilla wrap']]
107:David Duchovny-[['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', ''], ['a flat white', 'small', '']]
108:Joyce DeWitt-[['a mocha', 'large', 'a pain aux raisins'], ['a mocha', 'large', 'a pain aux raisins'], ['a mocha', 'large', 'a pain aux raisins'], ['a mocha', 'large', 'a pain aux raisins'], ['a mocha', 'large', 'a pain aux raisins']]
109:Sofia Vergara-[['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', '']]
110:Ming-Na Wen-[['a mocha', 'medium', 'a breakfast tortilla wrap'], ['a mocha', 'medium', 'a breakfast tortilla wrap'], ['a mocha', 'medium', 'a breakfast tortilla wrap'], ['a mocha', 'medium', 'a breakfast tortilla wrap'], ['a mocha', 'medium', 'a breakfast tortilla wrap']]
111:Courteney Cox-[['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', '']]
112:Bruce Willis-[['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin'], ['an espresso', 'small', 'a chocolate chip muffin']]
113:Vincent Kartheiser-[['a mocha', 'medium', ''], ['a mocha', 'medium', ''], ['a mocha', 'medium', ''], ['a mocha', 'medium', ''], ['a mocha', 'medium', '']]
114:Zachary Levi-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
115:Lucy Liu-[['a peppermint hot chocolate', 'large', 'an almond croissant'], ['a peppermint hot chocolate', 'large', 'an almond croissant'], ['a peppermint hot chocolate', 'large', 'an almond croissant'], ['a peppermint hot chocolate', 'large', 'an almond croissant'], ['a peppermint hot chocolate', 'large', 'an almond croissant']]
116:Walton Goggins-[['a noisette', 'small', 'a pain au chocolat'], ['a noisette', 'small', 'a pain au chocolat'], ['a noisette', 'small', 'a pain au chocolat'], ['a noisette', 'small', 'a pain au chocolat'], ['a noisette', 'small', 'a pain au chocolat']]
117:Amy Poehler-[['a hot chocolate', 'medium', 'a chocolate chip cookie'], ['a hot chocolate', 'medium', 'a chocolate chip cookie'], ['a hot chocolate', 'medium', 'a chocolate chip cookie'], ['a hot chocolate', 'medium', 'a chocolate chip cookie'], ['a hot chocolate', 'medium', 'a chocolate chip cookie']]
118:Stephen Moyer-[['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', '']]
119:Bryan Cranston-[['a cappuccino', 'small', ''], ['a cappuccino', 'small', ''], ['a cappuccino', 'small', ''], ['a cappuccino', 'small', ''], ['a cappuccino', 'small', '']]
120:Jon Cryer-[['an iced hot chocolate', 'medium', 'an everything bagel'], ['an iced hot chocolate', 'medium', 'an everything bagel'], ['an iced hot chocolate', 'medium', 'an everything bagel'], ['an iced hot chocolate', 'medium', 'an everything bagel'], ['an iced hot chocolate', 'medium', 'an everything bagel']]
121:Marcia Cross-[['a cordusio', 'small', 'a blueberry muffin'], ['a cordusio', 'small', 'a blueberry muffin'], ['a cordusio', 'small', 'a blueberry muffin'], ['a cordusio', 'small', 'a blueberry muffin'], ['a cordusio', 'small', 'a blueberry muffin']]
122:Jessica Chastain-[['a latte', 'large', 'an everything bagel'], ['a latte', 'large', 'an everything bagel'], ['a latte', 'large', 'an everything bagel'], ['a latte', 'large', 'an everything bagel'], ['a latte', 'large', 'an everything bagel']]
123:Kevin McKidd-[['a white hot chocolate', 'medium', 'a gingerbread cookie'], ['a white hot chocolate', 'medium', 'a gingerbread cookie'], ['a white hot chocolate', 'medium', 'a gingerbread cookie'], ['a white hot chocolate', 'medium', 'a gingerbread cookie'], ['a white hot chocolate', 'medium', 'a gingerbread cookie']]
124:Max Greenfield-[['a noisette', 'medium', 'a plain bagel'], ['a noisette', 'medium', 'a plain bagel'], ['a noisette', 'medium', 'a plain bagel'], ['a noisette', 'medium', 'a plain bagel'], ['a noisette', 'medium', 'a plain bagel']]
125:Pauley Perrette-[['a peppermint hot chocolate', 'medium', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'medium', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'medium', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'medium', 'a chocolate chip muffin'], ['a peppermint hot chocolate', 'medium', 'a chocolate chip muffin']]
126:Jared Padalecki-[['a caramel macchiato', 'large', 'a chocolate chip muffin'], ['a caramel macchiato', 'large', 'a chocolate chip muffin'], ['a caramel macchiato', 'large', 'a chocolate chip muffin'], ['a caramel macchiato', 'large', 'a chocolate chip muffin'], ['a caramel macchiato', 'large', 'a chocolate chip muffin']]
127:Emily Blunt-[['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
128:Emily VanCamp-[['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', ''], ['a hot chocolate', 'small', '']]
129:John Ritter-[['a cordusio', 'medium', 'a doughnut'], ['a cordusio', 'medium', 'a doughnut'], ['a cordusio', 'medium', 'a doughnut'], ['a cordusio', 'medium', 'a doughnut'], ['a cordusio', 'medium', 'a doughnut']]
130:Connie Britton-[['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', '']]
131:Sara Ramirez-[['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
132:Gillian Jacobs-[['an Earl Grey', 'small', 'a lemon pound cake'], ['an Earl Grey', 'small', 'a lemon pound cake'], ['an Earl Grey', 'small', 'a lemon pound cake'], ['an Earl Grey', 'small', 'a lemon pound cake'], ['an Earl Grey', 'small', 'a lemon pound cake']]
133:Michael Weatherly-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
134:Shailene Woodley-[['an espresso', 'large', 'a pain au chocolat'], ['an espresso', 'large', 'a pain au chocolat'], ['an espresso', 'large', 'a pain au chocolat'], ['an espresso', 'large', 'a pain au chocolat'], ['an espresso', 'large', 'a pain au chocolat']]
135:Jennifer Morrison-[['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
136:Elisabeth Moss-[['a noisette', 'small', 'a pain aux raisins'], ['a noisette', 'small', 'a pain aux raisins'], ['a noisette', 'small', 'a pain aux raisins'], ['a noisette', 'small', 'a pain aux raisins'], ['a noisette', 'small', 'a pain aux raisins']]
137:Piper Perabo-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
138:Tatiana Maslany-[['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', '']]
139:Tom Hiddleston-[['a caramel macchiato', 'large', 'an everything bagel'], ['a caramel macchiato', 'large', 'an everything bagel'], ['a caramel macchiato', 'large', 'an everything bagel'], ['a caramel macchiato', 'large', 'an everything bagel'], ['a caramel macchiato', 'large', 'an everything bagel']]
140:Zooey Deschanel-[['a salted caramel hot chocolate', 'large', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'large', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'large', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'large', 'a chocolate caramel shortbread'], ['a salted caramel hot chocolate', 'large', 'a chocolate caramel shortbread']]
141:Paul Wesley-[['a hot chocolate', 'medium', 'a plain bagel'], ['a hot chocolate', 'medium', 'a plain bagel'], ['a hot chocolate', 'medium', 'a plain bagel'], ['a hot chocolate', 'medium', 'a plain bagel'], ['a hot chocolate', 'medium', 'a plain bagel']]
142:Alex O'Loughlin-[['an Earl Grey', 'large', 'a veggie tortilla wrap'], ['an Earl Grey', 'large', 'a veggie tortilla wrap'], ['an Earl Grey', 'large', 'a veggie tortilla wrap'], ['an Earl Grey', 'large', 'a veggie tortilla wrap'], ['an Earl Grey', 'large', 'a veggie tortilla wrap']]
143:Karen Gillan-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', '']]
144:Clark Gregg-[['a salted caramel hot chocolate', 'medium', 'a classic oatmeal'], ['a salted caramel hot chocolate', 'medium', 'a classic oatmeal'], ['a salted caramel hot chocolate', 'medium', 'a classic oatmeal'], ['a salted caramel hot chocolate', 'medium', 'a classic oatmeal'], ['a salted caramel hot chocolate', 'medium', 'a classic oatmeal']]
145:Shay Mitchell-[['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat']]
146:Julianne Moore-[['a mocha', 'medium', 'a blueberry oatmeal'], ['a mocha', 'medium', 'a blueberry oatmeal'], ['a mocha', 'medium', 'a blueberry oatmeal'], ['a mocha', 'medium', 'a blueberry oatmeal'], ['a mocha', 'medium', 'a blueberry oatmeal']]
147:January Jones-[['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', '']]
148:Colin O'Donoghue-[['a caramel macchiato', 'large', 'a plain bagel'], ['a caramel macchiato', 'large', 'a plain bagel'], ['a caramel macchiato', 'large', 'a plain bagel'], ['a caramel macchiato', 'large', 'a plain bagel'], ['a caramel macchiato', 'large', 'a plain bagel']]
149:Megan Boone-[['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', '']]
150:Eva Longoria-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
151:Yvette Nicole Brown-[['an americano', 'medium', ''], ['an americano', 'medium', ''], ['an americano', 'medium', ''], ['an americano', 'medium', ''], ['an americano', 'medium', '']]
152:Kunal Nayyar-[['a flat white', 'small', 'a blueberry muffin'], ['a flat white', 'small', 'a blueberry muffin'], ['a flat white', 'small', 'a blueberry muffin'], ['a flat white', 'small', 'a blueberry muffin'], ['a flat white', 'small', 'a blueberry muffin']]
153:Christopher Gorham-[['an espresso macchiato', 'small', 'a lemon pound cake'], ['an espresso macchiato', 'small', 'a lemon pound cake'], ['an espresso macchiato', 'small', 'a lemon pound cake'], ['an espresso macchiato', 'small', 'a lemon pound cake'], ['an espresso macchiato', 'small', 'a lemon pound cake']]
154:James Franco-[['an espresso con panna', 'small', 'a croissant'], ['an espresso con panna', 'small', 'a croissant'], ['an espresso con panna', 'small', 'a croissant'], ['an espresso con panna', 'small', 'a croissant'], ['an espresso con panna', 'small', 'a croissant']]
155:Chris Hemsworth-[['a green tea', 'small', 'a classic oatmeal'], ['a green tea', 'small', 'a classic oatmeal'], ['a green tea', 'small', 'a classic oatmeal'], ['a green tea', 'small', 'a classic oatmeal'], ['a green tea', 'small', 'a classic oatmeal']]
156:Heidi Klum-[['a cordusio', 'small', 'a breakfast tortilla wrap'], ['a cordusio', 'small', 'a breakfast tortilla wrap'], ['a cordusio', 'small', 'a breakfast tortilla wrap'], ['a cordusio', 'small', 'a breakfast tortilla wrap'], ['a cordusio', 'small', 'a breakfast tortilla wrap']]
157:Neil Patrick Harris-[['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', '']]
158:Julianna Margulies-[['an americano', 'large', 'an almond croissant'], ['an americano', 'large', 'an almond croissant'], ['an americano', 'large', 'an almond croissant'], ['an americano', 'large', 'an almond croissant'], ['an americano', 'large', 'an almond croissant']]
159:Lauren Cohan-[['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', ''], ['an iced hot chocolate', 'large', '']]
160:Jim Parsons-[['a cordusio', 'medium', ''], ['a cordusio', 'medium', ''], ['a cordusio', 'medium', ''], ['a cordusio', 'medium', ''], ['a cordusio', 'medium', '']]
